horizon,block,estimator,n,rmse,mae,r2,spearman,bias,skill_vs_mean,skill_vs_persistence
1,ar,ridge,947,0.4099337420463618,0.29173136209875905,0.7603568896324104,0.8592904148569397,-0.03433496192277854,,0.19157476682082453
1,ar,baseline_drift,947,0.42960528063538045,0.309307146588819,0.7368054841180207,0.8698607676140293,0.028198265776372373,,0.15278077028022752
1,ar,baseline_persistence,947,0.5070768764036168,0.3632855739868907,0.6333216853337196,0.8263370626918292,0.059788336910209024,,0.0
1,ar,random_forest,947,0.5295155034267773,0.35311882590251475,0.6001519576981025,0.8300591155386688,-0.07259493935250096,,-0.044250937219428854
1,ar,gradient_boosting,947,0.530089359372361,0.36345822677258666,0.5992848272381304,0.8274673684334602,-0.08000328519898343,,-0.04538263139103793
1,ar,baseline_mean,947,0.9490663949100077,0.7324001901368381,-0.2844902308255901,-0.3340558621744882,-0.17094343580577723,,-0.8716420311672457
1,wbe+ar,ridge,942,0.4040210247654224,0.29481480730289694,0.7701930741485858,0.8507399392240632,-0.05345042904424713,,0.19688289541867432
1,wbe+ar,baseline_drift,942,0.431699121918407,0.3128497269553816,0.7376279841537439,0.8707472702391578,0.02562009823243164,,0.1418640922295784
1,wbe+ar,baseline_persistence,942,0.5030661437301143,0.36567143784139755,0.643708581528097,0.8237798205813425,0.04626561587506202,,0.0
1,wbe+ar,gradient_boosting,942,0.5464971302770982,0.3988574794470486,0.57953393257768,0.8139118309327287,-0.100477650291967,,-0.08633255703704013
1,wbe+ar,random_forest,942,0.587593411320057,0.4228628140620155,0.5139185851702679,0.7874627279806047,-0.13317725239185454,,-0.1680241627138599
1,wbe+ar,baseline_mean,942,1.0124484686122506,0.7743155203702452,-0.4431153198687232,-0.45316906798121787,-0.20558285605442342,,-1.0125553691711175
2,wbe,random_forest,939,0.9006010502466805,0.7047906162248931,-0.21764632409167683,0.25202057494309665,-0.15864687338340433,0.09382530064372441,
2,wbe,gradient_boosting,939,0.9221249915915174,0.7281588876948533,-0.2765441768859651,0.259225602426921,-0.18529210650211125,0.07216815170771407,
2,wbe,baseline_mean,939,0.993849255432143,0.7659054178076685,-0.4828502585477987,-0.4776299175923768,-0.20455326437076765,0.0,
2,wbe,ridge,939,1.0731839820765763,0.8258238933308454,-0.7290383568386298,0.20993985709152618,-0.27497161795841707,-0.07982571422256313,
2,ar,ridge,943,0.5608427887060689,0.4063874738505267,0.539714419664241,0.7646684558299173,-0.061619717251406005,,0.18469633962964527
2,ar,baseline_drift,943,0.6082998234890726,0.4347472445011782,0.45852243111402824,0.7786218944067057,0.05575414813520439,,0.1157074982857581
2,ar,random_forest,943,0.6409649037481778,0.4431278514524788,0.39880745031465437,0.7217623505409535,-0.07725224543205327,,0.06822189262613476
2,ar,gradient_boosting,943,0.6445314868724412,0.45784528420619547,0.3920982879614774,0.7128044257058613,-0.08424619203644144,,0.0630371094127572
2,ar,baseline_persistence,943,0.6878943588347242,0.4943099840594405,0.30754973560451804,0.7019185565739686,0.09054194441886187,,0.0
2,ar,baseline_mean,943,0.9463037889705685,0.7254863093389804,-0.3104071300641327,-0.34252156540194906,-0.17147232688020564,,-0.375652782752258
2,wbe+ar,ridge,939,0.5492851054526089,0.40619000708662606,0.5470482839645707,0.7433930143634258,-0.09378925957716477,,0.21275100930659685
2,wbe+ar,baseline_drift,939,0.6247930453889319,0.454585057858118,0.4139581409910841,0.7616769700072064,0.045437762976307625,,0.10453116333930612
2,wbe+ar,gradient_boosting,939,0.6298392081126125,0.47397214708799607,0.4044535383956306,0.6805852458414104,-0.09190950872500571,,0.09729887818965
2,wbe+ar,random_forest,939,0.688736898956492,0.5077833763083189,0.28786395945015875,0.6096412003214269,-0.13788044857825202,,0.012885251803749886
2,wbe+ar,baseline_persistence,939,0.697727290788652,0.5136902559606745,0.26915095413525947,0.6780764793992872,0.07057186830198647,,0.0
2,wbe+ar,baseline_mean,939,0.993849255432143,0.7659054178076685,-0.4828502585477987,-0.4776299175923768,-0.20455326437076765,,-0.42440931944740146
