region_code,lag_weeks,spearman_rho,p_value,n_weeks
06067,2,0.7092006628264815,7.342597318612778e-19,115
06067,3,0.6863733014722262,3.500746617011895e-17,114
06067,4,0.6167492847162154,3.5084233233985714e-13,113
06067,5,0.5121553285270101,7.831402104779499e-09,112
06067,6,0.36596174096174094,7.817429607243183e-05,111
06071,-2,0.22849195750846799,0.062917240728742,67
06071,-1,0.3362279649091368,0.00540518818319522,67
06071,0,0.42726063003111275,0.00027924030562342776,68
06071,1,0.4830236421837617,3.994855324628579e-05,66
06071,2,0.541841022721149,3.1411672503335553e-06,65
06071,3,0.49090924373329925,3.298359772440582e-05,65
06071,4,0.40052036571747,0.0010400539859834205,64
06071,5,0.32884323548709177,0.008501670716556036,63
06071,6,0.17736798621856795,0.16785238904100974,62
06075,-2,-0.057809293949088576,0.5358455163958591,117
06075,-1,0.0014236155253677114,0.9878459501213936,117
06075,0,0.05409176302513758,0.5624311111181383,117
06075,1,0.06978553952041548,0.456645575080392,116
06075,2,0.04581248527900217,0.6268447803031812,115
06075,3,0.012264575830561106,0.8969528878906469,114
06075,4,-0.033041432738247695,0.7282721482851429,113
06075,5,-0.09212781614800855,0.3339902268047371,112
06075,6,-0.14955702408471833,0.11719202440463934,111
06079,-2,-0.057142857142857155,0.6785900797124303,55
06079,-1,0.1562770562770563,0.2545453345078494,55
06079,0,0.33759018759018766,0.011715241355355285,55
06079,1,0.45927196493234224,0.00047704495981214056,54
06079,2,0.5385421706176423,3.186066312928319e-05,53
06079,3,0.5675744898830358,1.1445164590682151e-05,52
06079,4,0.5275113122171945,6.961827607279738e-05,51
06079,5,0.46362545018007206,0.0006965758097827242,50
06079,6,0.36795918367346936,0.009290283866956335,49
06081,-2,0.4205367980937823,2.34963916756514e-06,117
06081,-1,0.5427250520763087,2.5964278335848814e-10,117
06081,0,0.651186140958204,1.881255526046679e-15,117
06081,1,0.7248452696728559,3.627575004810588e-20,116
06081,2,0.7647597254004578,2.6086695006788704e-23,115
06081,3,0.7638848950001014,4.8743853195681144e-23,114
06081,4,0.7210226894670305,2.1483227805186346e-19,113
06081,5,0.6606587624286739,2.2690515859502727e-15,112
06081,6,0.576061776061776,3.714826408611135e-11,111
06085,-2,0.5627161526611644,1.7970167791793128e-12,133
06085,-1,0.6812366737739871,1.825370217015386e-19,133
06085,0,0.7715133605157172,1.0637902633794245e-27,134
06085,1,0.8381710695893098,4.933488356787997e-36,132
06085,2,0.8513478887524688,5.921879481210287e-38,131
06085,3,0.823348673339797,2.7635924500227513e-33,130
06085,4,0.7605713327370306,1.3877584031059076e-25,129
06085,5,0.6625103003112983,1.636934889711043e-17,128
06085,6,0.5448654855643044,3.531603843537011e-11,127
06099,-2,0.2325363192153871,0.0644489337138778,64
06099,-1,0.40037106236621517,0.0010449891133097026,64
06099,0,0.5294306663038401,6.854100908737921e-06,64
06099,1,0.6356913558486224,2.1742683587456722e-08,63
